[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9087764,ASIAN LEADER,Kilimanjaro Maritima SA,NYK Line,NYK Line,PAN,7014,146.60000610351563,21.0,15.050000190734863,Vehicles Carrier
9293662,FREEDOM ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,19093,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9676876,PISCES LEADER,Emerald Sea Carriers SA,NYK Line,NYK Line,PAN,18781,199.97999572753906,35.799999237060547,38.0,Vehicles Carrier
9229398,NEW CENTURY 1,Feng Li Maritime Corp,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,PAN,16837,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9675573,GALVESTON HIGHWAY,Nelson Shipping Corp,Sanasia Management Inc,Kawasaki Kisen Kaisha Ltd,PAN,18549,199.97000122070313,32.259998321533203,34.799999237060547,Vehicles Carrier
9210438,PLATINUM RAY,Stamco Ship Management Co Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,21400,199.97999572753906,32.259998321533203,32.639999389648438,Vehicles Carrier
9284738,PYXIS LEADER,Eternal Sky Marine SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,21466,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9055486,RYUJIN,Sea Green Shipping SA,Kitaura Kaiun KK,Kitaura Kaiun KK,PAN,14080,180.0,32.200000762939453,32.669998168945313,Vehicles Carrier
9505900,VENUS SPIRIT,Secure Shipping Co Ltd,Nissan Motor Car Carrier,Nissan Motor Car Carrier,LIB,13951,183.0,30.200000762939453,28.799999237060547,Vehicles Carrier
8202367,AEGEAN BREEZE,Wallenius Lines Singapore,Wallenius Marine Singapore Pte,UECC,SNG,12527,164.0,28.0,24.350000381469727,Vehicles Carrier
9158276,AQUARIUS LEADER,NYK Line,NYK Line,NYK Line,JPN,22815,199.92999267578125,32.259998321533203,34.549999237060547,Vehicles Carrier
9476745,HELIOS LEADER,Ship V/VI/VII/VIII,NYK Line,NYK Line,JPN,18692,200.0,32.259998321533203,34.520000457763672,Vehicles Carrier
8716162,SERASI III,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,IDA,2618,115.0,20.0,6.5799999237060547,Vehicles Carrier
