[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth]
9381677,ORCHID ACE,Mitsui OSK Lines Ltd,MOLSHIP,Mitsui OSK Lines Ltd,JPN,"17,289.00",199.99,32.26,34.26
9355185,PRIMROSE ACE,Polar Express SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,LIB,"17,339.00",199.99,32.26,34.26
9451006,MEDITERRANEAN SEA,Mediterranean Sea,Sunship Schiffahrtskontor KG,Sunship Schiffahrtskontor KG,ABB,"14,774.00",182.8,31.5,31.8
9047996,HARMONY ACE,Trident Car Transport,Wilhelmsen Ship Mgmt Sdn Bhd,Mitsui OSK Lines Ltd,PAN,"14,110.00",180,32.2,32.67
9318503,ISTRA ACE,Istra Maritime Ltd,Ray Car Carriers Ltd,Mitsui OSK Lines Ltd,BAH,"12,200.00",176,31.1,30
9181558,LEO LEADER,Scorpio Carriers Ltd-Liberia,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,"22,733.00",199.9,32.26,34.55
9367592,MORNING NINNI,Ocean PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,EUKOR Car Carriers Inc,SNG,"17,372.00",179.9,32.2,34.8
9668506,NEPTUNE THALASSA,Epicurus Navigation Co Ltd,Neptune Lines Shipping,Neptune Lines Shipping,GRC,"11,262.00",169.55,28,30.56
9491898,PATARA,Patara GmbH & Co KG,Laeisz Reederei,TB Marine-Hamburg GmbH,GEU,"12,755.00",182.93,31.49,31.8
8204963,TEXAS,Wilhelmsen Lines Shipowning AS,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,NIS,"44,080.00",262.08,32.26,21.01
9209506,TRIUMPH ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"20,131.00",199.94,32.2,33.74
9032331,MALAYSIA STAR,HKK Jaya Sdn Bhd,HKK Jaya Sdn Bhd,Eastern Car Liner Ltd,MAL,"9,313.00",151.6,21,8.7
8131128,NUSANTARA SEJATI,Putra Sejati,Putra Sejati,Putra Sejati,IDA,"7,200.00",131.7,19.39,11.6
9446881,ADRIA ACE,Adria Maritime Ltd,Ray Car Carriers Ltd,Mitsui OSK Lines Ltd,BAH,"12,300.00",176,31.1,30.03
9176606,ASIAN EMPIRE,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,KRS,"25,765.00",228.8,32.26,32.09
8507664,CITY OF MUMBAI,Sinor Lines Pte Ltd,Hoegh Autoliners AS,Hoegh Autoliners AS,SNG,"7,894.00",157.51,27.01,27.15
9284776,GRAND PAVO,Dynamic Growth Marine SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"18,376.00",199.9,32.26,35.8
9329473,MORNING CORNET,Tailwind Car Carriers Pte Ltd,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,SNG,"20,500.00",199.98,32.26,32.64
9445980,MORNING LADY,2053 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,"27,343.00",232.38,32.26,32.64
9367580,MORNING MARGARETA,United PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,EUKOR Car Carriers Inc,SNG,"17,386.00",179.9,32.2,34.8
9186950,STRAITS CHALLENGER,Souffle Shipholding SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,MAL,"17,297.00",179.9,32.2,15.07
9051818,PEARL ACE,Prosper World Marine Co Ltd,Masumoto Shipping Co Ltd,Mitsui OSK Lines Ltd,PAN,"15,194.00",188,31.2,30.6
8822090,SUMATERA LEADER,NYK-SPIL Indororo PT,Salam Pacific Indonesia Lines,NYK Line Indonesia,IDA,"2,662.00",108,19.6,5.96
9505053,TITANIA,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Mgmt Sdn Bhd,Wallenius Wilhelmsen Logistics,MTA,"30,907.00",227.8,32.26,34.7
9505065,TUGELA,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Mgmt Sdn Bhd,Wallenius Wilhelmsen Logistics,MTA,"28,837.00",229.99,32.25,34.7
9190858,VERONA,SCC Shipowning I AS,Siem Car Carriers AS,Siem Car Carriers AS,NIS,"12,778.00",176.7,31.1,28
9476733,ZEUS LEADER,Ship I/Ship II /Ship III /Ship,NYK Container Line Ltd,NYK Line,JPN,"18,697.00",199.9,32.26,34.52
