ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-28,250982.04510270825,579624.5331961177,847764.2522804183,238023.72556562294,264449.60352377436,468528.9322028341,351981.08401966956,578701.3869448256,468528.9322028341,351981.08401966956,578701.3869448256,0.0,0.0,0.0,719510.9773055423
2022-06-29,250999.3209865063,608033.7601948306,818775.877593147,238041.6649672227,264467.5302587471,462016.55508495064,380687.0315496216,538700.2171016398,462016.55508495064,380687.0315496216,538700.2171016398,0.0,0.0,0.0,713015.8760714569
2022-06-30,251016.59687030443,615320.8566506954,784085.7955828814,238059.6043688226,264485.4569937199,451259.4813844885,406475.0279688373,492778.1329206502,451259.4813844885,406475.0279688373,492778.1329206502,0.0,0.0,0.0,702276.078254793
2022-07-01,251033.8727541025,616709.5796016633,761202.4472282798,238077.54377042234,264503.3837286927,436430.3681393125,423402.32332178333,449462.0247761052,436430.3681393125,423402.32332178333,449462.0247761052,0.0,0.0,0.0,687464.240893415
2022-07-02,251051.1486379006,587692.3592184057,752334.3884776048,238095.4831720222,264521.3104636655,417801.7215601886,383407.34877956955,452696.867790751,417801.7215601886,383407.34877956955,452696.867790751,0.0,0.0,0.0,668852.8701980892
2022-07-03,251068.42452169865,545527.201566747,754099.8865227299,238113.42257362197,264539.23719863826,395740.51881170203,328521.9586782178,469488.21018934535,395740.51881170203,328521.9586782178,469488.21018934535,0.0,0.0,0.0,646808.9433334006
2022-07-04,251085.7004054967,496224.945306121,754197.9216041628,238127.8483357639,264557.163933611,370700.3674363396,267711.933226723,481801.2726384945,370700.3674363396,267711.933226723,481801.2726384945,0.0,0.0,0.0,621786.0678418363
2022-07-05,251102.97628929478,444941.07886750886,758929.1678951092,238136.645888259,264575.0906685839,343211.3911159147,208764.27019036943,489283.84732596914,343211.3911159147,208764.27019036943,489283.84732596914,0.0,0.0,0.0,594314.3674052095
2022-07-06,251120.2521730929,375200.95689705416,756838.0979277752,238146.3857297903,264593.0174035567,313868.0914796329,148968.72945326622,494044.2485716357,313868.0914796329,148968.72945326622,494044.2485716357,0.0,0.0,0.0,564988.3436527258
2022-07-07,251137.528056891,321441.61138773244,753561.5215894518,238157.06786035787,264610.9441385295,283315.49013124005,87758.37758875353,495656.98446658015,283315.49013124005,87758.37758875353,495656.98446658015,0.0,0.0,0.0,534453.018188131
2022-07-08,251154.80394068905,269756.37539509876,755981.8922019061,238167.74999092543,264628.8708735023,252233.90148156742,28521.36922085819,493116.7997876733,252233.90148156742,28521.36922085819,493116.7997876733,0.0,0.0,0.0,503388.7054222565
2022-07-09,251172.07982448715,209374.50776687515,742282.0191846597,238178.43212149307,264646.7976084751,221322.72406767483,-31568.094910157226,488708.2462902419,221322.72406767483,-31568.094910157226,488708.2462902419,0.0,0.0,0.0,472494.803892162
2022-07-10,251189.3557082852,157540.56487527472,735681.4033926384,238189.11425206062,264664.72434344783,191283.66479157214,-87210.41318946805,479843.0540347825,191283.66479157214,-87210.41318946805,479843.0540347825,0.0,0.0,0.0,442473.0204998574
2022-07-11,251206.6315920833,103068.51659242892,728513.3751445387,238199.79638262824,264682.6510784207,162803.82619660182,-134796.97530068606,467478.2648371712,162803.82619660182,-134796.97530068606,467478.2648371712,0.0,0.0,0.0,414010.4577886851
2022-07-12,251223.9074758814,62288.86705065348,719756.2280151113,238210.4785131958,264700.57781339344,136539.0910713184,-182588.1820101842,459389.0505714241,136539.0910713184,-182588.1820101842,459389.0505714241,0.0,0.0,0.0,387762.99854719976
2022-07-13,251241.1833596795,12665.152221869408,715326.7112981192,238221.1606437634,264718.5045483663,113098.23123572822,-219444.39554919206,446469.6442716579,113098.23123572822,-219444.39554919206,446469.6442716579,0.0,0.0,0.0,364339.4145954077
2022-07-14,251258.45924347755,-11054.548609808575,694321.7224690043,238231.84277433096,264736.4312833391,93028.14850537543,-252151.20685423253,428976.8688657661,93028.14850537543,-252151.20685423253,428976.8688657661,0.0,0.0,0.0,344286.607748853
2022-07-15,251275.73512727564,-24861.697652131446,691926.3765897526,238242.5249048986,264769.90803476627,76800.62608339367,-266509.5295189628,415734.1168881837,76800.62608339367,-266509.5295189628,415734.1168881837,0.0,0.0,0.0,328076.3612106693
2022-07-16,251293.0110110737,-58305.96034885141,686376.0250865961,238256.12522786754,264790.3035883266,64800.92880104023,-283807.47333576827,406843.5639487171,64800.92880104023,-283807.47333576827,406843.5639487171,0.0,0.0,0.0,316093.93981211394
2022-07-17,251310.28689487185,-50923.50011986312,667897.1413116056,238270.46083672394,264810.6991418871,57318.54181386524,-288991.95812422346,405481.41443879466,57318.54181386524,-288991.95812422346,405481.41443879466,0.0,0.0,0.0,308628.8287087371
2022-07-18,251327.5627786699,-55903.355655630556,674251.748068043,238284.79644558034,264831.0946954474,54540.280899515055,-289282.3000032238,401970.42585007683,54540.280899515055,-289282.3000032238,401970.42585007683,0.0,0.0,0.0,305867.84367818496
2022-07-19,251344.838662468,-38973.81645875037,665796.2649752474,238299.13205443678,264851.49024900794,56545.94493585388,-281951.9461319692,394931.2402890117,56545.94493585388,-281951.9461319692,394931.2402890117,0.0,0.0,0.0,307890.7835983219
